t,ev,ev_exact
0.0,(-0.49964270571677594+0j),(-0.49964270571677644+0j)
0.7070707070707071,(-0.4922594158399344-5.956444231910911e-20j),(-0.49246649115293073+0j)
1.4141414141414141,(-0.4914441414958479+6.096404010565765e-19j),(-0.4682660740145684+0j)
2.121212121212121,(-0.5110195212862004+1.9595772462896214e-17j),(-0.42310428856319404+0j)
2.8282828282828283,(-0.4494828222042211-8.987235567961462e-18j),(-0.35929126955288293+0j)
3.5353535353535355,(-0.3375420321168287+3.565768788453699e-19j),(-0.2878132927232543+0j)
4.242424242424242,(-0.29662640385041866+8.65441134809819e-17j),(-0.22321635963722558+0j)
4.94949494949495,(-0.07929847747362011+1.0370682149070663e-16j),(-0.17641295680070085+0j)
5.656565656565657,(0.10728964024918555-9.973798877092489e-17j),(-0.15120033472166436+0j)
6.363636363636363,(0.33811388489290856-8.884695144518682e-16j),(-0.1441415863599202+0j)
7.070707070707071,(0.5378417438565088-2.123228428994015e-15j),(-0.14432885924791986+0j)
7.777777777777778,(0.7655044246584685-3.999816399492132e-15j),(-0.13372302554196408+0j)
8.484848484848484,(0.8726660139410303-4.969003310818755e-15j),(-0.09313366836349263+0j)
9.191919191919192,(0.9557391800580519-4.0074155824228434e-15j),(-0.01482208221669648+0j)
9.8989898989899,(0.9530038687029624-1.3979626551396992e-15j),(0.08693826957681604+0j)
10.606060606060606,(0.8557039070052004+1.0867222386202145e-15j),(0.17876428967099536+0j)
11.313131313131313,(0.674979003510447+9.916003709220249e-16j),(0.22563906275520404+0j)
12.02020202020202,(0.5565344652512872-1.5228554106146533e-15j),(0.21036642257137467+0j)
12.727272727272727,(0.38015138481272487-2.621335441968026e-15j),(0.140511635896553+0j)
13.434343434343434,(0.07707222960867346-1.957747716415058e-15j),(0.0405422216333179+0j)
14.141414141414142,(-0.14022748337051008-1.1724422645190157e-15j),(-0.060723445899999576+0j)
