t,ev,ev_exact
0.0,(-0.49964270571677594+0j),(-0.4996427057167751+0j)
0.5084745762711864,(-0.5519139152765623-1.5775034818404914e-20j),(-0.4991206027049661+0j)
1.0169491525423728,(-0.5980229300807448-6.138095332448903e-19j),(-0.4972963735422616+0j)
1.5254237288135593,(-0.6355125922530164+3.1037759592292603e-17j),(-0.4938168125834556+0j)
2.0338983050847457,(-0.610308765168668+9.120666284601162e-17j),(-0.4889162307839173+0j)
2.542372881355932,(-0.6397581669896981+1.155696459821981e-16j),(-0.48345116523414844+0j)
3.0508474576271185,(-0.6193745655219779-4.1442845439659205e-16j),(-0.47829247807378833+0j)
3.559322033898305,(-0.6346613444159276-6.739087850782061e-16j),(-0.4738807108852291+0j)
4.067796610169491,(-0.5916092421522634-9.811090972253352e-16j),(-0.47041293477540574+0j)
4.576271186440678,(-0.576558127631474-1.0936423863130281e-15j),(-0.4682801340424405+0j)
5.084745762711864,(-0.4944935087043342-9.561289603269791e-16j),(-0.4681163493914395+0j)
5.59322033898305,(-0.4775078434136848-7.579953316460223e-16j),(-0.47031380567483333+0j)
6.101694915254237,(-0.42168717395852773-4.54503851174422e-16j),(-0.47448241544632536+0j)
6.610169491525424,(-0.3787589643634042-1.0800789504515386e-16j),(-0.47948399073924464+0j)
7.11864406779661,(-0.36265177633923046+2.2735622956818797e-15j),(-0.48414603753050084+0j)
7.627118644067796,(-0.3575563151291662+1.8175086486561246e-15j),(-0.48799008179158315+0j)
8.135593220338983,(-0.34165844098192455+3.425871205052786e-15j),(-0.4912134299131377+0j)
8.64406779661017,(-0.3013975573099994+2.732625700631135e-15j),(-0.49403519942695934+0j)
9.152542372881356,(-0.2911999607950722+2.725486473615004e-15j),(-0.49629164414211985+0j)
9.661016949152541,(-0.2533341607423607+2.307568003389858e-15j),(-0.49772599219032493+0j)
10.169491525423728,(-0.19395000178524693+1.46190386173418e-15j),(-0.4983670293979681+0j)
